2024/09/23 22:13:17 serving http on http://127.0.0.1:56741
2024/09/23 22:13:17 serving rpc on tcp://[::]:45661
2024/09/23 22:13:17 booting test machines...
2024/09/23 22:13:17 wait for the connection from test machine...
2024/09/23 22:13:27 XXX Fuzzer command: 
/syz-fuzzer -executor=/syz-executor -name=vm-1 -arch=amd64 -manager=localhost:45661 -sandbox=none -cover=true -debug=false  -optional=slowdown=1:sandbox_arg=0:pprof_port=6060
2024/09/23 22:13:34 machine check:
failed to read the following files in the VM:
/dev/raw-gadget                             : open /dev/raw-gadget: no such file or directory

BinFmtMisc              : enabled
Comparisons             : call 0 failed with errno 38
Coverage                : enabled
DelayKcovMmap           : enabled
DevlinkPCI              : PCI device 0000:00:10.0 is not available.  (errno 2: No such file or directory).
ExtraCoverage           : enabled
Fault                   : CONFIG_FAULT_INJECTION is not enabled.  (errno 2: No such file or directory).
KCSAN                   : write(/sys/kernel/debug/kcsan, on) failed.  (errno 2: No such file or directory).
LRWPANEmulation         : netlink: failed to get family id for nl802154: No such file or directory.  netlink_query_family_id failed.  (errno 2: No such file or directory).
Leak                    : failed to write(kmemleak, "scan=off").  (errno 2: No such file or directory).
NetDevices              : enabled
NetInjection            : tun: can't open /dev/net/tun.  (errno 2: No such file or directory).
NicVF                   : PCI device 0000:00:11.0 is not available.  (errno 2: No such file or directory).
SandboxAndroid          : enabled
SandboxNamespace        : enabled
SandboxSetuid           : enabled
Swap                    : enabled
USBEmulation            : failed to chmod /dev/raw-gadget.  (errno 2: No such file or directory).
VhciInjection           : socket(AF_BLUETOOTH, SOCK_RAW, BTPROTO_HCI) failed.  (errno 97: Address family not supported by protocol).
WifiEmulation           : netlink_query_family_id failed.  (errno 2: No such file or directory).
syscalls                : 2193/4499

2024/09/23 22:13:41 corpus                  : 29 (0 broken, 29 seeds)
2024/09/23 22:13:47 candidates=0 corpus=36 coverage=14398 exec total=1053 (35/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:13:57 candidates=0 corpus=52 coverage=14607 exec total=1638 (40/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:07 candidates=0 corpus=55 coverage=14642 exec total=2010 (40/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:17 candidates=0 corpus=56 coverage=14652 exec total=2139 (35/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:27 candidates=0 corpus=61 coverage=14657 exec total=2293 (32/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:37 candidates=0 corpus=80 coverage=14865 exec total=3229 (40/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:47 candidates=0 corpus=93 coverage=14884 exec total=3889 (43/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:57 candidates=0 corpus=99 coverage=15103 exec total=4116 (41/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:14:58 Hit times: 0
2024/09/23 22:15:07 candidates=0 corpus=111 coverage=15365 exec total=4627 (42/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:15:17 candidates=0 corpus=130 coverage=15528 exec total=5240 (43/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:15:27 candidates=0 corpus=163 coverage=16021 exec total=6365 (48/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:15:37 candidates=0 corpus=238 coverage=16885 exec total=8105 (57/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:15:47 candidates=0 corpus=268 coverage=17169 exec total=9173 (61/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:15:53 Hit times: 0
2024/09/23 22:15:57 candidates=0 corpus=287 coverage=18129 exec total=9615 (60/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:16:07 candidates=0 corpus=291 coverage=18406 exec total=9836 (57/sec) fuzzing VMs=1 reproducing=0 
2024/09/23 22:16:17 candidates=0 corpus=296 coverage=18724 exec total=10025 (55/sec) fuzzing VMs=1 reproducing=0 
